GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ike Terms,network.ike.foundation.ike.terms,Ike,0,28,0,0,0,9,0,1,0,1
Ike Terms,network.ike.foundation.ike.terms,ConceptSet,0,54,0,0,0,14,0,1,0,1
Ike Terms,network.ike.foundation.ike.terms,PatternShapeRefinementSet,0,737,0,0,0,130,0,1,0,1
Ike Terms,network.ike.foundation.ike.terms,LegacyTerminologySet,0,20,0,0,0,6,0,1,0,1
Ike Terms,network.ike.foundation.ike.terms,IkeTerm,0,1343,0,0,0,262,0,1,0,1
Ike Terms,network.ike.foundation.ike.terms,ModelOrganizationSet,0,380,0,0,0,86,0,1,0,1
Ike Terms,network.ike.foundation.ike.terms,ConstraintPatternSet,0,1249,0,0,0,212,0,1,0,1
Ike Terms,network.ike.foundation.ike.terms,DefinitionCompletionSet,0,411,0,0,0,104,0,1,0,1
Ike Terms,network.ike.foundation.ike.terms,IkeSource,0,27,0,0,0,14,0,2,0,2
Ike Terms,network.ike.foundation.ike.terms,DefaultsAndTemplatesSet,0,148,0,0,0,30,0,1,0,1
Ike Terms,network.ike.foundation.ike.terms,DataTypeDefaultsSet,0,738,0,0,0,125,0,1,0,1
Ike Terms,network.ike.foundation.ike.terms,NarrativeContentSet,0,766,0,0,0,107,0,2,0,2
Ike Terms,network.ike.foundation.ike.terms,AssemblageTerminologySet,0,40,0,0,0,9,0,1,0,1
Ike Terms,network.ike.foundation.ike.terms.foundation,Section4,0,221,0,0,0,12,0,2,0,2
Ike Terms,network.ike.foundation.ike.terms.foundation,Section5,0,224,0,0,0,12,0,2,0,2
Ike Terms,network.ike.foundation.ike.terms.foundation,Section6,0,2437,0,0,0,112,0,12,0,12
Ike Terms,network.ike.foundation.ike.terms.foundation,Section7,0,221,0,0,0,12,0,2,0,2
Ike Terms,network.ike.foundation.ike.terms.foundation,Section8,0,227,0,0,0,12,0,2,0,2
Ike Terms,network.ike.foundation.ike.terms.foundation,Section38,0,657,0,0,0,32,0,4,0,4
Ike Terms,network.ike.foundation.ike.terms.foundation,Section9,0,881,0,0,0,42,0,5,0,5
Ike Terms,network.ike.foundation.ike.terms.foundation,Section37,0,227,0,0,0,12,0,2,0,2
Ike Terms,network.ike.foundation.ike.terms.foundation,Section39,0,673,0,0,0,32,0,4,0,4
Ike Terms,network.ike.foundation.ike.terms.foundation,Section1,0,224,0,0,0,12,0,2,0,2
Ike Terms,network.ike.foundation.ike.terms.foundation,Section2,0,3557,0,0,0,162,0,17,0,17
Ike Terms,network.ike.foundation.ike.terms.foundation,Section3,0,5892,0,0,0,272,0,28,0,28
Ike Terms,network.ike.foundation.ike.terms.foundation,Section70,0,4775,0,0,0,218,0,51,0,51
Ike Terms,network.ike.foundation.ike.terms.foundation,Section71,0,4664,0,0,0,224,0,12,0,12
Ike Terms,network.ike.foundation.ike.terms.foundation,Section34,0,227,0,0,0,12,0,2,0,2
Ike Terms,network.ike.foundation.ike.terms.foundation,Section33,0,675,0,0,0,32,0,4,0,4
Ike Terms,network.ike.foundation.ike.terms.foundation,Section36,0,660,0,0,0,32,0,4,0,4
Ike Terms,network.ike.foundation.ike.terms.foundation,Section35,0,875,0,0,0,42,0,5,0,5
